Configuration Results:
Default AMAT: 1.116866822729605, Default Area: 40000.0
Sets: 4, Ways: 8, Block Size: 256, Hit Rate: 92.99%, AMAT: 1.28, Area: 20000.00, AMAT Diff: 14.78%, Area Diff: -50.00%, Total Diff: -35.22%
Sets: 8, Ways: 2, Block Size: 256, Hit Rate: 94.51%, AMAT: 1.22, Area: 10000.00, AMAT Diff: 9.29%, Area Diff: -75.00%, Total Diff: -65.71%
Sets: 8, Ways: 4, Block Size: 256, Hit Rate: 94.51%, AMAT: 1.22, Area: 20000.00, AMAT Diff: 9.29%, Area Diff: -50.00%, Total Diff: -40.71%
Sets: 8, Ways: 8, Block Size: 256, Hit Rate: 94.51%, AMAT: 1.22, Area: 40000.00, AMAT Diff: 9.29%, Area Diff: 0.00%, Total Diff: 9.29%
Sets: 16, Ways: 2, Block Size: 256, Hit Rate: 97.09%, AMAT: 1.12, Area: 20000.00, AMAT Diff: 0.00%, Area Diff: -50.00%, Total Diff: -50.00%
Sets: 16, Ways: 4, Block Size: 256, Hit Rate: 97.09%, AMAT: 1.12, Area: 40000.00, AMAT Diff: 0.00%, Area Diff: 0.00%, Total Diff: 0.00%
Sets: 16, Ways: 8, Block Size: 256, Hit Rate: 97.09%, AMAT: 1.12, Area: 80000.00, AMAT Diff: 0.00%, Area Diff: 100.00%, Total Diff: 100.00%
Sets: 32, Ways: 2, Block Size: 256, Hit Rate: 98.78%, AMAT: 1.05, Area: 40000.00, AMAT Diff: -6.07%, Area Diff: 0.00%, Total Diff: -6.07%
Sets: 32, Ways: 4, Block Size: 256, Hit Rate: 98.78%, AMAT: 1.05, Area: 80000.00, AMAT Diff: -6.07%, Area Diff: 100.00%, Total Diff: 93.93%
Sets: 32, Ways: 8, Block Size: 256, Hit Rate: 98.78%, AMAT: 1.05, Area: 160000.00, AMAT Diff: -6.07%, Area Diff: 300.00%, Total Diff: 293.93%
Sets: 64, Ways: 2, Block Size: 256, Hit Rate: 99.31%, AMAT: 1.03, Area: 80000.00, AMAT Diff: -7.98%, Area Diff: 100.00%, Total Diff: 92.02%
